name,source,servings,ingredients_resolved,coverage_pct,listed_kcal,computed_kcal_per_serving,kcal_diff_pct,listed_P,computed_P,p_diff_pct,listed_C,computed_C,c_diff_pct,listed_F,computed_F,f_diff_pct,status,worst_variance,unresolved
Chicken Breast with Quinoa,meals.ts,1,2/6,33%,519.0,413.3,-20.4,42.0,52.7,25.6,45.0,0.0,-100.0,19.0,21.1,11.2,LOW_COVERAGE,100.0,Quinoa (0.5 cup dry → can't convert to grams); Zucchini (no USDA mapping); Bell pepper (1.0 diced → can't convert to grams)
Pasta with Meat Sauce,meals.ts,1,3/6,50%,604.0,343.9,-43.1,32.0,30.3,-5.3,65.0,3.5,-94.6,24.0,22.2,-7.5,LOW_COVERAGE,94.6,Whole wheat pasta (2.0 oz dry → can't convert to grams); Garlic (2.0 cloves minced → can't convert to grams); Parmesan cheese (no USDA mapping)
Steak with Roasted Vegetables,meals.ts,1,2/6,33%,581.0,557.9,-4.0,45.0,44.2,-1.7,35.0,0.0,-100.0,29.0,40.5,39.7,LOW_COVERAGE,100.0,Baby potatoes (1.0 cup halved → can't convert to grams); Carrots (2.0 medium chopped → can't convert to grams); Asparagus (no USDA mapping)
Vegetable Curry with Rice,meals.ts,1,2/6,33%,500.0,132.6,-73.5,14.0,0.0,-100.0,65.0,0.0,-100.0,20.0,15.0,-25.0,LOW_COVERAGE,100.0,Mixed vegetables (2.0 cups chopped → can't convert to grams); Coconut milk (1.0 can (14oz) → can't convert to grams); Basmati rice (1.0 cup cooked → can't convert to grams)
Grilled Fish Tacos,meals.ts,1,2/6,33%,480.0,625.5,30.3,32.0,49.5,54.6,40.0,73.5,83.8,20.0,13.7,-31.4,LOW_COVERAGE,83.8,Avocado (0.5 mashed → can't convert to grams); Cabbage (1.0 cup shredded → can't convert to grams); Lime (1.0 whole → can't convert to grams)
Chicken Thigh with Mashed Potatoes,meals.ts,1,2/6,33%,580.0,252.3,-56.5,35.0,2.2,-93.7,45.0,3.0,-93.4,28.0,26.3,-5.9,LOW_COVERAGE,93.7,Chicken thighs (2.0 bone-in → can't convert to grams); Potatoes (2.0 medium peeled → can't convert to grams); Frozen peas (no USDA mapping)
Tofu Pad Thai,meals.ts,1,4/7,57%,500.0,652.6,30.5,20.0,15.1,-24.4,60.0,109.9,83.2,18.0,16.2,-10.0,LOW_COVERAGE,83.2,Firm tofu (0.5 block cubed → can't convert to grams); Peanuts (2.0 tbsp crushed → can't convert to grams); Lime (0.5 wedge → can't convert to grams)
Stuffed Bell Peppers,meals.ts,1,3/6,50%,450.0,498.8,10.8,30.0,41.0,36.6,40.0,75.8,89.4,16.0,1.9,-88.3,LOW_COVERAGE,89.4,Bell peppers (2.0 large → can't convert to grams); Shredded cheese (no USDA mapping); Salt and pepper (1.0 pinch each → can't convert to grams)
Pesto Pasta with Chicken,meals.ts,1,0/5,0%,580.0,0.0,-100.0,35.0,0.0,-100.0,55.0,0.0,-100.0,24.0,0.0,-100.0,LOW_COVERAGE,100.0,Penne pasta (2.0 oz dry → can't convert to grams); Chicken breast (4.0 oz grilled → can't convert to grams); Basil pesto (no USDA mapping)
Bean & Cheese Enchiladas,meals.ts,1,2/6,33%,520.0,595.8,14.6,22.0,16.1,-26.9,55.0,98.0,78.2,22.0,14.9,-32.3,LOW_COVERAGE,78.2,Black beans (0.5 can drained → can't convert to grams); Shredded cheese (no USDA mapping); Sour cream (no USDA mapping)
